id,mode,format,prompt,choice_a,choice_b,choice_c,choice_d,correct,estimate_answer,estimate_unit,estimate_tolerance,category,tags,difficulty,weight,source,license,attribution,notes,active
opinion-food-001,opinion,binary,Pineapple on pizza?,"Yes, obviously",Absolutely not,,,,,,,food,"food, debate",easy,1,original,CC0,,Classic split; great first-round demo,true
opinion-food-002,opinion,binary,Is a hot dog a sandwich?,Yes,No,,,,,,,food,"food, semantics",easy,1,original,CC0,,,true
opinion-food-003,opinion,binary,Cereal — milk first or cereal first?,Milk first,Cereal first,,,,,,,food,"food, morning",easy,1,original,CC0,,,true
opinion-food-004,opinion,binary,Fries: ketchup or no ketchup?,Ketchup,No ketchup,,,,,,,food,food,easy,1,original,CC0,,,true
opinion-food-005,opinion,binary,Sweet or savory breakfast?,Sweet,Savory,,,,,,,food,"food, morning",easy,1,original,CC0,,,true
opinion-life-001,opinion,binary,Morning person or night owl?,Morning,Night,,,,,,,lifestyle,lifestyle,easy,1,original,CC0,,,true
opinion-life-002,opinion,binary,Beach vacation or mountain vacation?,Beach,Mountains,,,,,,,lifestyle,travel,easy,1,original,CC0,,,true
opinion-life-003,opinion,binary,Cats or dogs?,Cats,Dogs,,,,,,,lifestyle,animals,easy,1,original,CC0,,,true
opinion-life-004,opinion,binary,Always early or always exactly on time?,Always early,Exactly on time,,,,,,,lifestyle,"lifestyle, habits",medium,1,original,CC0,,Avoid “always late” as a soft flex that dominates,true
opinion-life-005,opinion,binary,Text first or call first?,Text,Call,,,,,,,lifestyle,communication,easy,1,original,CC0,,,true
opinion-absurd-001,opinion,binary,Fight 100 duck-sized horses or 1 horse-sized duck?,100 duck-sized horses,1 horse-sized duck,,,,,,,absurd,"absurd, classic",easy,1,original,CC0,,Internet-classic dilemma; original wording,true
opinion-absurd-002,opinion,binary,Invisible or able to fly — but only 1 meter off the ground?,Invisible,Low flight,,,,,,,absurd,"absurd, powers",easy,1,original,CC0,,,true
opinion-absurd-003,opinion,binary,Unlimited bacon or unlimited free plane tickets?,Bacon,Plane tickets,,,,,,,absurd,"absurd, food, travel",easy,1,original,CC0,,,true
opinion-tech-001,opinion,binary,Tabs or spaces?,Tabs,Spaces,,,,,,,tech,"tech, programming",easy,1,original,CC0,,Site audience skews nerdy,true
opinion-tech-002,opinion,binary,Dark mode or light mode?,Dark,Light,,,,,,,tech,"tech, ui",easy,1,original,CC0,,,true
opinion-tech-003,opinion,binary,Desktop or laptop as daily driver?,Desktop,Laptop,,,,,,,tech,tech,easy,1,original,CC0,,,true
opinion-media-001,opinion,binary,Books or movies for the same story?,Books,Movies,,,,,,,media,media,easy,1,original,CC0,,,true
opinion-media-002,opinion,binary,Sequel or remake?,Sequel,Remake,,,,,,,media,media,easy,1,original,CC0,,,true
opinion-media-003,opinion,binary,Listen to the same album forever or a random song every time?,Same album,Random forever,,,,,,,media,music,easy,1,original,CC0,,,true
opinion-deep-001,opinion,binary,More time or more money?,Time,Money,,,,,,,values,values,medium,1,original,CC0,,,true
opinion-deep-002,opinion,binary,"Know a little about everything, or everything about one thing?",Little about everything,Everything about one thing,,,,,,,values,"values, learning",medium,1,original,CC0,,,true
opinion-deep-003,opinion,binary,"Surprise party for you, or plan your own celebration?",Surprise me,Let me plan it,,,,,,,values,"values, social",medium,1,original,CC0,,,true
opinion-multi-001,opinion,multi,Best comfort food?,Pizza,Pasta,Tacos,Soup / stew,,,,,food,food,easy,1,original,CC0,,,true
opinion-multi-002,opinion,multi,Ideal Saturday?,Adventure outdoors,Couch + shows,Side project / making stuff,Friends / social plans,,,,,lifestyle,lifestyle,easy,1,original,CC0,,,true
opinion-multi-003,opinion,multi,Decade with the best music?,70s,80s,90s,2000s,,,,,media,music,easy,1,original,CC0,,Skip 2010s/2020s to reduce recency fights; rotate later,true
opinion-multi-004,opinion,multi,If you could only keep one?,Phone,Laptop,Headphones,Coffee maker,,,,,tech,"tech, lifestyle",easy,1,original,CC0,,,true
opinion-multi-005,opinion,multi,Dream trip style?,Road trip,Train across a country,Island do-nothing,Big city wander,,,,,travel,travel,easy,1,original,CC0,,,true
estimate-space-001,estimate,multi,About how far is the Moon from Earth on average?,"About 384,000 km","About 150,000 km",About 1 million km,"About 38,000 km","About 384,000 km",,,,space,"space, distance",medium,1,nasa,CC0,"NASA Moon Facts — average distance 384,400 km (https://science.nasa.gov/moon/facts/)",Was free-number estimate; converted to MC,true
estimate-space-002,estimate,multi,Roughly how many Earths could fit inside the Sun by volume?,About 1.3 million,"About 100,000",About 10 million,"About 13,000",About 1.3 million,,,,space,space,hard,1,nasa,CC0,"NASA NSSDC Sun Fact Sheet volume ratio Sun/Earth ≈ 1,304,000 (https://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html)",Was free-number estimate; converted to MC,true
estimate-geo-001,estimate,multi,About how long is Earth's equatorial circumference?,"About 40,000 km","About 25,000 km","About 12,000 km","About 100,000 km","About 40,000 km",,,,geography,geography,medium,1,wgs84,CC0,"WGS84 equatorial radius 6,378.137 km → 2πR ≈ 40,075 km (NIMA/NGA WGS84)",Was free-number estimate; converted to MC,true
estimate-geo-002,estimate,multi,What is the official height of Mount Everest (nearest meter)?,"8,849 m","8,848 m","8,000 m","9,144 m","8,849 m",,,,geography,geography,medium,1,nepal-china-2020,CC0,"Nepal–China joint announcement 8,848.86 m (2020); round to 8849 (https://www.reuters.com/world/china/mount-everest-is-higher-than-we-thought-say-nepal-china-2020-12-08/)",Was free-number estimate; converted to MC. 8848 is a common older figure — kept as distractor.,true
estimate-science-001,estimate,multi,What is the speed of light in vacuum?,"About 300,000 km/s","About 30,000 km/s",About 3 million km/s,"About 3,000 km/s","About 300,000 km/s",,,,science,"science, physics",medium,1,nist,CC0,"NIST — c = 299,792,458 m/s exact → ~299,792 km/s (https://physics.nist.gov/constants)",Was free-number estimate; converted to MC (rounded choice),true
estimate-science-002,estimate,multi,How many bones are in the standard adult human skeleton count taught in textbooks?,206,270,186,300,206,,,,science,"science, biology",easy,1,bionumbers,CC0,BioNumbers BNID 102383 cites Steele & Bramblett — 206 adult bones (https://bionumbers.hms.harvard.edu/bionumber.aspx?id=102383),Was free-number estimate; converted to MC,true
estimate-history-001,estimate,multi,In what year did the Wright brothers make the first powered airplane flight at Kitty Hawk?,1903,1899,1914,1927,1903,,,,history,"history, aviation",medium,1,smithsonian,CC0,"Smithsonian National Air and Space Museum — 1903 Wright Flyer, first flight Dec 17 1903 (https://airandspace.si.edu/collection-objects/1903-wright-flyer/nasm_A19610048000)",Was free-number estimate; converted to MC,true
estimate-history-002,estimate,multi,In what year did the Berlin Wall fall?,1989,1991,1985,1979,1989,,,,history,history,easy,1,original-cited,CC0,Widely documented historical date — 9 November 1989 (e.g. Britannica: https://www.britannica.com/topic/Berlin-Wall),Was free-number estimate; converted to MC,true
estimate-tech-001,estimate,multi,In what year was the first iPhone announced?,2007,2005,2009,2010,2007,,,,tech,tech,medium,1,apple,CC0,"Apple special event January 9, 2007 — first iPhone announced (contemporary coverage / Apple newsroom archives)",Was free-number estimate; converted to MC,true
